-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2024 through 05/31/2024 
Location: Latitude  27.7129   Longitude 85.3112 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 776.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,PRECTOTCORR,RH2M,QV2M,T2M,T2MDEW,T2MWET,WS50M,WD50M
2024,5,1,0,91.66,1.15,273.12,0.0,25.38,5.13,23.85,2.65,13.25,2.04,269.12
2024,5,1,1,91.62,0.91,282.96,0.0,25.19,4.88,23.23,2.08,12.65,1.53,277.63
2024,5,1,2,91.6,0.68,301.87,0.0,25.5,4.82,22.76,1.87,12.31,1.08,294.72
2024,5,1,3,91.59,0.63,347.01,0.0,25.38,4.76,22.56,1.66,12.12,0.86,338.78
2024,5,1,4,91.59,0.93,20.73,0.0,25.81,4.76,22.37,1.73,12.05,1.21,16.45
2024,5,1,5,91.62,1.14,39.15,0.0,26.88,4.82,21.89,1.9,11.9,1.45,36.0
2024,5,1,6,91.67,1.06,53.72,0.0,26.12,5.0,23.02,2.45,12.73,1.4,53.83
2024,5,1,7,91.73,0.39,111.37,0.0,19.56,4.76,27.12,1.79,14.45,0.18,147.72
2024,5,1,8,91.78,2.7,242.4,0.0,13.56,4.03,30.42,-0.54,14.94,3.02,249.22
2024,5,1,9,91.82,4.29,240.4,0.0,10.62,3.6,32.68,-1.99,15.35,4.45,244.65
2024,5,1,10,91.81,5.26,239.47,0.0,8.5,3.17,34.61,-3.45,15.58,5.48,243.69
2024,5,1,11,91.74,6.29,241.11,0.0,6.69,2.75,36.24,-5.13,15.55,6.74,245.4
2024,5,1,12,91.66,7.63,245.11,0.0,5.62,2.44,37.37,-6.2,15.58,8.42,248.96
2024,5,1,13,91.57,9.11,248.56,0.0,5.5,2.44,37.8,-6.17,15.81,10.31,251.77
2024,5,1,14,91.5,10.48,250.08,0.0,5.88,2.56,37.49,-5.74,15.87,12.1,252.69
2024,5,1,15,91.46,11.27,250.99,0.0,6.38,2.62,36.44,-5.5,15.48,13.24,253.2
2024,5,1,16,91.45,10.91,253.52,0.0,6.75,2.56,34.95,-5.89,14.53,13.08,255.43
2024,5,1,17,91.48,9.5,256.59,0.0,7.0,2.44,33.19,-6.64,13.28,11.87,258.15
2024,5,1,18,91.53,6.31,259.3,0.0,8.75,2.56,30.01,-6.28,11.87,10.08,260.14
2024,5,1,19,91.6,4.3,262.16,0.0,12.81,2.93,26.1,-4.64,10.73,8.76,263.03
2024,5,1,20,91.68,3.69,267.94,0.0,14.69,3.11,24.62,-4.11,10.26,7.73,268.32
2024,5,1,21,91.74,3.31,275.15,0.0,16.0,3.17,23.62,-3.81,9.9,6.68,274.56
2024,5,1,22,91.77,2.92,286.45,0.0,16.94,3.23,22.94,-3.67,9.64,5.4,284.4
2024,5,1,23,91.77,2.51,307.91,0.0,17.25,3.23,22.64,-3.7,9.47,4.09,303.93
2024,5,2,0,91.73,2.28,335.98,0.0,17.0,3.17,22.48,-3.94,9.26,3.39,330.89
2024,5,2,1,91.7,2.25,356.62,0.0,16.81,3.11,22.32,-4.18,9.07,3.15,352.45
2024,5,2,2,91.66,2.24,9.86,0.0,16.81,3.05,22.04,-4.38,8.83,3.04,6.78
2024,5,2,3,91.63,2.18,17.27,0.0,17.0,2.99,21.66,-4.56,8.55,2.92,14.89
2024,5,2,4,91.63,1.96,24.01,0.0,16.56,2.93,21.65,-4.85,8.4,2.52,21.87
2024,5,2,5,91.65,1.52,33.28,0.0,16.0,2.87,21.89,-5.05,8.42,1.84,31.46
2024,5,2,6,91.71,1.17,50.98,0.0,15.19,2.75,22.28,-5.5,8.39,1.39,52.74
2024,5,2,7,91.73,0.41,161.22,0.0,11.12,2.56,26.08,-6.7,9.69,0.64,187.04
2024,5,2,8,91.78,3.14,228.53,0.0,8.81,2.5,29.66,-7.04,11.31,3.35,231.53
2024,5,2,9,91.8,4.57,233.89,0.0,8.44,2.62,31.4,-6.33,12.53,4.67,236.47
2024,5,2,10,91.81,5.4,236.56,0.0,8.25,2.75,32.52,-5.77,13.37,5.48,239.41
2024,5,2,11,91.78,5.96,237.95,0.0,8.12,2.81,33.32,-5.4,13.96,6.03,240.95
2024,5,2,12,91.71,6.61,237.7,0.0,8.0,2.87,33.84,-5.27,14.29,6.73,240.58
2024,5,2,13,91.66,7.06,238.35,0.0,7.94,2.87,33.94,-5.31,14.31,7.28,241.12
2024,5,2,14,91.61,7.08,241.91,0.0,7.94,2.81,33.69,-5.49,14.1,7.43,244.73
2024,5,2,15,91.58,6.53,247.21,0.0,8.06,2.75,33.06,-5.75,13.65,6.95,250.28
2024,5,2,16,91.59,5.83,252.78,0.0,8.31,2.69,32.07,-6.04,13.01,6.32,255.91
2024,5,2,17,91.62,5.0,257.46,0.0,9.0,2.69,30.61,-6.1,12.25,5.73,260.35
2024,5,2,18,91.69,2.79,258.53,0.0,13.69,3.3,26.8,-3.3,11.75,4.93,260.52
2024,5,2,19,91.75,2.59,261.16,0.0,16.88,3.42,23.98,-2.69,10.65,4.33,262.75
2024,5,2,20,91.82,2.33,268.65,0.0,17.31,3.36,23.37,-2.85,10.26,3.79,269.29
2024,5,2,21,91.86,2.06,281.82,0.0,17.56,3.3,22.84,-3.08,9.88,3.31,280.33
2024,5,2,22,91.89,1.78,298.59,0.0,17.75,3.23,22.38,-3.31,9.54,2.71,295.83
2024,5,2,23,91.89,1.68,322.54,0.0,17.88,3.17,21.94,-3.61,9.16,2.42,319.46
2024,5,3,0,91.88,1.72,338.1,0.0,17.88,3.11,21.54,-3.92,8.81,2.39,335.28
2024,5,3,1,91.87,1.58,347.41,0.0,17.5,3.05,21.48,-4.23,8.62,2.14,344.74
2024,5,3,2,91.85,1.39,350.64,0.0,17.31,2.99,21.42,-4.45,8.48,1.86,347.65
2024,5,3,3,91.86,1.38,350.54,0.0,17.56,2.99,21.15,-4.49,8.33,1.84,348.21
2024,5,3,4,91.88,1.5,5.68,0.0,17.81,2.99,20.85,-4.52,8.17,2.0,4.26
2024,5,3,5,91.91,1.59,22.9,0.0,18.12,2.93,20.35,-4.68,7.83,2.12,22.51
2024,5,3,6,91.96,1.65,35.73,0.0,17.81,3.11,21.4,-4.06,8.68,2.27,36.75
2024,5,3,7,92.0,1.39,46.36,0.0,14.31,3.17,25.62,-3.65,10.98,1.57,42.18
2024,5,3,8,92.02,1.59,256.65,0.0,10.75,2.99,29.35,-4.66,12.34,1.95,267.24
2024,5,3,9,92.07,3.59,241.93,0.0,9.44,3.05,32.05,-4.32,13.87,3.51,248.17
2024,5,3,10,92.07,4.3,230.38,0.0,8.81,3.17,33.8,-3.96,14.91,4.04,234.28
2024,5,3,11,92.02,4.52,222.69,0.0,8.31,3.17,35.12,-3.74,15.69,4.23,225.3
2024,5,3,12,91.97,4.98,220.23,0.0,8.06,3.23,35.88,-3.62,16.13,4.78,222.08
2024,5,3,13,91.93,5.45,224.07,0.0,8.0,3.3,36.22,-3.45,16.38,5.39,226.0
2024,5,3,14,91.9,5.26,227.35,0.0,8.31,3.36,35.97,-3.2,16.39,5.3,229.48
2024,5,3,15,91.88,4.69,232.31,0.0,8.81,3.42,35.24,-2.95,16.15,4.83,234.61
2024,5,3,16,91.87,3.99,235.53,0.0,9.56,3.48,34.14,-2.64,15.75,4.21,238.11
2024,5,3,17,91.89,3.0,236.68,0.0,11.56,3.85,32.45,-1.25,15.6,3.73,238.71
2024,5,3,18,91.98,2.08,237.45,0.0,17.25,4.58,28.62,1.36,14.99,3.4,238.72
2024,5,3,19,92.08,1.87,242.58,0.0,17.62,4.33,27.16,0.49,13.83,2.83,243.43
2024,5,3,20,92.18,1.36,254.69,0.0,17.31,4.21,27.05,0.16,13.61,2.09,254.14
2024,5,3,21,92.27,0.72,277.51,0.0,16.94,4.09,27.08,-0.16,13.46,1.11,272.42
2024,5,3,22,92.29,0.53,12.8,0.0,17.38,4.09,26.63,-0.13,13.26,0.62,3.62
2024,5,3,23,92.28,1.41,45.22,0.0,18.69,3.97,24.96,-0.52,12.22,1.83,44.83
2024,5,4,0,92.22,2.16,60.84,0.0,21.31,4.09,23.18,-0.18,11.5,3.02,61.71
2024,5,4,1,92.16,2.41,61.27,0.0,22.94,4.21,22.4,0.17,11.29,3.51,62.58
2024,5,4,2,92.15,2.33,61.54,0.0,23.25,4.27,22.37,0.32,11.34,3.43,62.91
2024,5,4,3,92.11,2.42,59.54,0.0,23.81,4.27,22.05,0.36,11.2,3.66,61.3
2024,5,4,4,92.06,2.54,61.15,0.0,23.94,4.27,21.92,0.32,11.12,4.03,63.14
2024,5,4,5,92.06,2.47,61.49,0.0,23.88,4.27,22.05,0.4,11.22,3.91,63.18
2024,5,4,6,92.12,2.24,62.09,0.0,23.62,4.52,23.03,1.08,12.05,3.58,63.43
2024,5,4,7,92.2,1.96,76.41,0.0,17.44,4.27,27.17,0.34,13.76,2.36,80.48
2024,5,4,8,92.27,1.98,143.99,0.0,13.62,3.97,30.2,-0.7,14.76,2.09,143.22
2024,5,4,9,92.3,2.54,180.0,0.0,12.31,4.03,32.22,-0.54,15.83,2.42,178.33
2024,5,4,10,92.28,3.26,191.61,0.0,11.69,4.09,33.49,-0.31,16.59,3.1,191.05
2024,5,4,11,92.21,3.56,197.24,0.0,11.62,4.15,33.78,-0.11,16.83,3.44,197.04
2024,5,4,12,92.13,3.43,203.94,0.0,11.81,4.21,33.77,0.05,16.91,3.32,204.33
2024,5,4,13,92.04,3.3,206.44,0.0,11.44,4.27,34.55,0.26,17.4,3.18,207.51
2024,5,4,14,91.93,3.3,210.08,0.0,11.69,4.33,34.46,0.44,17.45,3.23,211.77
2024,5,4,15,91.87,3.1,213.29,0.0,12.62,4.39,33.21,0.58,16.9,3.15,215.31
2024,5,4,16,91.84,2.8,217.06,0.0,13.31,4.33,32.23,0.58,16.4,2.96,219.53
2024,5,4,17,91.85,2.26,216.28,0.0,14.5,4.52,31.26,1.05,16.16,2.71,217.5
2024,5,4,18,91.89,1.66,207.77,0.0,19.69,5.13,28.19,2.84,15.51,2.57,208.36
2024,5,4,19,91.95,1.51,192.24,0.0,19.88,4.82,26.94,1.96,14.45,2.14,193.07
2024,5,4,20,92.0,1.25,173.19,0.0,20.31,4.7,26.33,1.74,14.03,1.78,174.71
2024,5,4,21,92.03,1.01,151.85,0.0,20.5,4.64,25.83,1.47,13.65,1.43,155.4
2024,5,4,22,92.03,0.94,118.69,0.0,21.38,4.58,25.01,1.37,13.19,1.3,123.98
2024,5,4,23,91.99,1.19,91.88,0.0,22.69,4.58,24.01,1.37,12.69,1.59,97.61
2024,5,5,0,91.94,1.43,77.1,0.0,24.19,4.64,23.05,1.42,12.23,1.92,82.04
2024,5,5,1,91.89,1.54,70.46,0.0,25.0,4.58,22.41,1.33,11.87,2.05,75.22
2024,5,5,2,91.84,1.52,66.99,0.0,25.69,4.64,22.03,1.39,11.71,2.0,72.06
2024,5,5,3,91.83,1.69,64.5,0.0,26.75,4.64,21.49,1.48,11.48,2.27,67.76
2024,5,5,4,91.82,2.12,60.12,0.0,28.38,4.64,20.54,1.48,11.01,3.0,61.83
2024,5,5,5,91.82,2.47,58.07,0.0,30.0,4.7,19.67,1.49,10.58,3.67,59.66
2024,5,5,6,91.84,2.4,58.84,0.0,28.81,4.88,21.03,2.13,11.58,4.1,60.31
2024,5,5,7,91.85,2.81,76.16,0.0,21.19,4.7,25.52,1.66,13.59,3.15,78.86
2024,5,5,8,91.88,2.42,128.83,0.0,17.12,4.58,28.71,1.32,15.01,2.48,127.45
2024,5,5,9,91.88,2.59,167.26,0.0,15.0,4.58,31.07,1.35,16.21,2.36,165.83
2024,5,5,10,91.86,3.1,193.27,0.0,14.12,4.76,32.83,1.87,17.36,2.81,195.46
2024,5,5,11,91.82,3.68,207.06,0.0,13.62,4.94,34.1,2.37,18.23,3.45,210.63
2024,5,5,12,91.74,3.96,215.35,0.0,13.25,5.07,34.98,2.66,18.83,3.82,219.45
2024,5,5,13,91.67,3.86,222.38,0.0,13.12,5.13,35.41,2.84,19.12,3.79,227.17
2024,5,5,14,91.59,3.6,229.67,0.0,13.19,5.19,35.44,2.98,19.21,3.63,235.18
2024,5,5,15,91.56,3.37,236.16,0.0,13.62,5.19,34.93,3.05,18.98,3.52,241.79
2024,5,5,16,91.55,3.07,241.09,0.0,14.25,5.19,34.1,3.01,18.55,3.36,246.42
